Word	BlogFreq	BlogFreqPm	BlogCD	BlogCDPc	TwitterFreq	TwitterFreqPm	TwitterCD	TwitterCDPc	NewsFreq	NewsFreqPm	NewsCD	NewsCDPc.
ấp	638	38.9671	573	0.1424	186	15.3026	174	0.0208	803	45.7160	714	0.2510
web	638	38.9671	519	0.1289	1384	113.8647	1325	0.1581	1159	65.9836	975	0.3428
len	638	38.9671	558	0.1386	4294	353.2768	4020	0.4797	333	18.9582	279	0.0981
tê	636	38.8450	581	0.1443	583	47.9647	530	0.0632	404	23.0003	338	0.1188
hủ	636	38.8450	564	0.1401	293	24.1058	282	0.0336	207	11.7848	169	0.0594
mắm	633	38.6618	440	0.1093	414	34.0607	400	0.0477	495	28.1811	365	0.1283
vơ	632	38.6007	601	0.1493	391	32.1684	382	0.0456	207	11.7848	199	0.0700
hốt	632	38.6007	606	0.1506	382	31.4280	366	0.0437	236	13.4358	234	0.0823
nộ	631	38.5396	619	0.1538	46	3.7845	44	0.0053	182	10.3615	180	0.0633
mẻ	631	38.5396	599	0.1488	312	25.6689	308	0.0368	691	39.3397	676	0.2377
huệ	630	38.4785	498	0.1237	105	8.6386	104	0.0124	735	41.8447	604	0.2124
đắt	628	38.3564	592	0.1471	716	58.9069	692	0.0826	1290	73.4417	1245	0.4377
tồi	625	38.1731	594	0.1476	309	25.4221	303	0.0362	545	31.0277	534	0.1878
mòn	625	38.1731	579	0.1438	342	28.1371	335	0.0400	478	27.2133	437	0.1536
gởi	623	38.0510	559	0.1389	221	18.1822	207	0.0247	162	9.2229	144	0.0506
bê	622	37.9899	548	0.1361	775	63.7609	751	0.0896	914	52.0354	808	0.2841
kìa	621	37.9288	587	0.1458	4668	384.0466	4535	0.5411	80	4.5545	77	0.0271
thà	620	37.8678	588	0.1461	747	61.4573	735	0.0877	300	17.0795	286	0.1006
nếp	620	37.8678	534	0.1327	89	7.3222	84	0.0100	739	42.0724	618	0.2173
xì	619	37.8067	572	0.1421	1972	162.2408	1777	0.2120	475	27.0425	426	0.1498
đuối	618	37.7456	594	0.1476	625	51.4201	609	0.0727	337	19.1859	325	0.1143
hầm	618	37.7456	502	0.1247	130	10.6954	119	0.0142	1072	61.0306	766	0.2693
chìa	618	37.7456	569	0.1414	149	12.2586	142	0.0169	309	17.5918	286	0.1006
hiếp	617	37.6845	573	0.1424	257	21.1440	242	0.0289	424	24.1390	391	0.1375
cua	617	37.6845	463	0.1150	6685	549.9896	6224	0.7427	482	27.4410	380	0.1336
ả	616	37.6234	495	0.1230	162	13.3281	147	0.0175	351	19.9830	319	0.1122
cù	616	37.6234	470	0.1168	76	6.2527	73	0.0087	317	18.0473	276	0.0970
